EAN,Código Interno,Nombre Producto,Categoría,Subcategoría,Marca,Fabricante,Precio de Lista,Precio de Oferta,Tipo de Oferta,URL
7891150025981,,jabon liquido humectacion dove baby 200 ml,mayonesas,GENERAL,DOVE BABY,,5322.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7891150025981&P=1
7891150035874,,jabon liquido humectacion enriquec dove baby 180 ml,mayonesas,GENERAL,DOVE BABY,,3730.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7891150035874&P=1
7791274200663,,oleo calcareo algabo 500 ml,mayonesas,GENERAL,ALGABO,,5311.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791274200663&P=1
7891150025967,,jabon liquido humectacion sensible dove baby 200 ml,mayonesas,GENERAL,DOVE BABY,,5044.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7891150025967&P=1
7790064104822,,oleo calcareo manzanilla estrella 250 ml,mayonesas,GENERAL,ESTRELLA,,4366.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790064104822&P=1
7791274201318,,panos algodon x 40u algabo baby 1 un,mayonesas,GENERAL,ALGABO BABY,,2639.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791274201318&P=1
7791001000436,,shampoo 3 en 1 biferdil 250 ml,mayonesas,GENERAL,BIFERDIL,,9704.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791001000436&P=1
7891150045316,,shampoo cabello claro manzanilla dove baby 200 ml,mayonesas,GENERAL,DOVE BABY,,4075.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7891150045316&P=1
7790010002974,,shampoo hidratacion intensa johnsons kids 200 ml,mayonesas,GENERAL,JOHNSONS KIDS,,4901.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790010002974&P=1
7891150025950,,shampoo humectacion enriquecida dove baby 400 ml,mayonesas,GENERAL,DOVE BABY,,6592.0,,Oferta,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7891150025950&P=1
7791293030203,,shampoo manzanilla talentosa suave kids 350 ml,mayonesas,GENERAL,SUAVE KIDS,,4797.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791293030203&P=1
7791001002614,,shampoo p/nenes biferdil 250 ml,mayonesas,GENERAL,BIFERDIL,,9808.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791001002614&P=1
7791600028190,,colonia c/vaporizador acqua d/colber 60 ml,mayonesas,GENERAL,ACQUA D/COLBERT,,12569.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600028190&P=1
7791600164133,,colonia c/vaporizador kevin park 60 ml,mayonesas,GENERAL,KEVIN PARK,,15188.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600164133&P=1
7791274002649,,colonia avengers capitan america algabo 125 ml,mayonesas,GENERAL,ALGABO,,6280.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791274002649&P=1
7791600881252,,colonia cannon musk 250 ml,mayonesas,GENERAL,CANNON MUSK,,7731.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600881252&P=1
7791274009242,,colonia desodorante algabo 500 ml,mayonesas,GENERAL,ALGABO,,4823.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791274009242&P=1
7791274000317,,colonia lavanda algabo 500 ml,mayonesas,GENERAL,ALGABO,,4823.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791274000317&P=1
7791600462253,,desod. aerosol ciel shine 123 ml,mayonesas,GENERAL,CIEL SHINE,,3976.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600462253&P=1
7791600742584,,desod.aero colbert space 250 cc,mayonesas,GENERAL,COLBERT SPACE,,4824.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600742584&P=1
7791600620240,,desod.aero futbol paco 150 ml,mayonesas,GENERAL,PACO,,3715.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600620240&P=1
7791600060473,,desod.aerosol chester ice 150 cc,mayonesas,GENERAL,CHESTER ICE,,4336.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600060473&P=1
7791600102388,,desod.aerosol chic to cheek gino bogani 123 cc,mayonesas,GENERAL,GINO BOGANI,,3900.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600102388&P=1
7791600030346,,desod.aerosol ciel 123 cc,mayonesas,GENERAL,CIEL,,4000.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600030346&P=1
7791600030452,,desod.aerosol ciel 186 cc,mayonesas,GENERAL,CIEL,,4638.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600030452&P=1
7791600024239,,desod.aerosol ciel crystal 123 ml,mayonesas,GENERAL,CIEL CRYSTAL,,3976.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600024239&P=1
7791600024345,,desod.aerosol ciel crystal 186 ml,mayonesas,GENERAL,CIEL CRYSTAL,,4638.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600024345&P=1
7791600154257,,desod.aerosol ciel noir 123 ml,mayonesas,GENERAL,CIEL NOIR,,3976.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600154257&P=1
7791600064457,,desod.aerosol ciel nuit 123 cc,mayonesas,GENERAL,CIEL NUIT,,3976.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600064457&P=1
7791600064563,,desod.aerosol ciel nuit 186 cc,mayonesas,GENERAL,CIEL NUIT,,4638.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600064563&P=1
7791600962371,,desod.aerosol ciel rose 123 cc,mayonesas,GENERAL,CIEL ROSE,,3976.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600962371&P=1
7791600192372,,desod.aerosol colbert 150 ml,mayonesas,GENERAL,COLBERT,,4239.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600192372&P=1
8411061088197,,212 vip rose carolina herre 80 ml,mayonesas,GENERAL,CAROLINA HERRERA,,203996.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=8411061088197&P=1
8411061080719,,her secret temptation antonio bander 80 ml,mayonesas,GENERAL,ANTONIO BANDERAS,,31912.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=8411061080719&P=1
8410190612525,,agua fresca rosas blancas adolfo domingu 120 ml,mayonesas,GENERAL,ADOLFO DOMINGUEZ,,64897.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=8410190612525&P=1
3349668515660,,invictus edt paco rabanne 100 ml,mayonesas,GENERAL,PACO RABANNE,,173571.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=3349668515660&P=1
8411061777176,,212 vip rose carolina herre 80 ml,mayonesas,GENERAL,CAROLINA HERRERA,,203996.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=8411061777176&P=1
8411061860410,,her secret temptation antonio bander 80 ml,mayonesas,GENERAL,ANTONIO BANDERAS,,31912.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=8411061860410&P=1
3430750528641,,paria maracon amaande tea time 100 ml,mayonesas,GENERAL,TEA TIME,,35700.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=3430750528641&P=1
3430750250924,,promenade a montmartre jeanne arthes 100 ml,mayonesas,GENERAL,JEANNE ARTHES,,35712.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=3430750250924&P=1
8433982018718,,sisterland green jasmine benetton 80 ml,mayonesas,GENERAL,BENETTON,,34000.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=8433982018718&P=1
8433982018749,,sisterland red benetton 80 ml,mayonesas,GENERAL,BENETTON,,35168.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=8433982018749&P=1
