EAN,CodigoInterno,NombreProducto,Categoria,Subcategoria,Marca,Fabricante,PrecioLista,PrecioOferta,TipoOferta,URL,SKU,ProductId,ClusterId,ClusterNombre
7790580151768,104436909,Confites Masticables Sugus Ácidos Halloween 50 G,Kiosco,Golosinas > Caramelos Y Chupetines,Sugus,,1619.0,1619.0,Sin cucarda Financiacion | Mas Club Lunes 15% | Almacen | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/confites-masticables-sugus-acidos-halloween-50-g/p,236986,236071,3454,Almacen
7790580144876,103945562,Confites Rocklets Dispenser 120 G,Kiosco,Chocolates > Confites,Rocklets,,30469.0,30469.0,Sin cucarda Financiacion | Mas Club Lunes 15% | Almacen | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/confites-rocklets-dispenser-120-g/p,226081,225631,3454,Almacen
7790580151560,104436910,Confites Rocklets Max Momia Halloween 40 G,Kiosco,Chocolates > Confites,Rocklets,,1899.0,1899.0,Sin cucarda Financiacion | Mas Club Lunes 15% | Almacen | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/confites-rocklets-max-momia-halloween-40-g/p,236987,236072,3454,Almacen
7793360984907,12497623,Conserva Vegetales Choclo Amarillo Cremoso La Campagnola 300 Gr,Conservas Y Enlatados,Conservas > Conservas De Verdura Y Legumbres,La Campagnola,,1899.0,1899.0,Más Online | Almacén | leyDeGondolas | Changazo - Lo que necesitas | Ofertazos- Almacén | MS Almacen Conservas | Sin cucarda Financiacion | Changomanía- Supermercado | Aniversario! Almacén | Navidad 22 - Conservas | Navidad 22 - Filtro - Conservas y Aderezos | Navidad 22 - Filtro - Conservas de Verduras y Legumbres | Pascuas - Conservas Pescado y Vegetales | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | CumpleMas Aniversario x2 | Almacen | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/conserva-vegetales-choclo-amarillo-cremoso-la-campagnola-300-gr-2/p,15187,15188,3454,Almacen
7790790120271,3050084,Conserva Vegetales Jardinera Inca 350 Gr,Conservas Y Enlatados,Conservas > Conservas De Verdura Y Legumbres,Inca,,1179.0,884.25,Coleccion Automatica - Promos de Integracion Activas | Más Online | Almacén | leyDeGondolas | Derrumbe- Especiales para vos! | Maratón- Almacén | Almacen FLASH 1 - Abril 24 | Maraton - Todo 25% | Ofertazos- Almacén | MS Almacen Conservas | Ofertas de la Semana | Sin cucarda Financiacion | Almacén | Black almacen | Navidad 22 - Conservas | Navidad 22 - Filtro - Conservas y Aderezos | Navidad 22 - Filtro - Conservas de Verduras y Legumbres | Pascuas - Conservas Pescado y Vegetales | Lo mejor de tus comidas navideñas | Licencia DC | Mas Club Lunes 15% | 20240301 a 20240310 Changazo Super - 2da al 70% | Anses Incluidos Marzo 24 | Almacen | Liquidaciones - Mas Club | Promos activas - ESPECIAL 2 TINA | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/conserva-vegetales-jardinera-inca-350-gr-2/p,14392,14392,3454,Almacen
7790070410795,207289497,Cookies Exquisita De Vainilla Con Chips De Chocolate 300gr,Desayunos Y Meriendas,Galletitas Dulces > Galletitas Simples,Exquisita,,2609.0,2609.0,"Vic - MKT | Más Online | Almacén | leyDeGondolas | Maratón- Almacén | Más Ofertas- Supermercado | kiosko galletitas dulces | maraton-iudu-10 | Sin cucarda Financiacion | Almacén | flash Especial Desayuno y Meriendas | Aniversario - Almacen | Aniversario! Almacén | Black almacen | BF - Filtro desayuno | Black - Todo 2do80% | BF - Filtro - Conservas, harinas y puré | BF - Promo - 2da al 80% | Almacén - Changazos | Te regalamos la tercera | 2da al 80% - Especial Almacen - Promo | Hotsale - Mega Ofertas | Hotsale 23 super MO - Almacen | Ofertazos - Regional - Almacen | Días que si - Almacen | Regional  Desayuno y Almacén | Licencia DC | Especial Almacén - General | Especial Almacén - Desayuno | Prepará tu semana- mas ofertas | Especial Reyes|Food | 20240301 a 20240310 Changazo Super - 2da al 70% | Anses Incluidos Marzo 24 | Almacen | CumpleMas Aniversario x3 | Competencia | Almacen General - HotSale | Capsulas y Galletitas Dulces - OP | Sin financiación FOOD | Productos sin Financiacion",https://www.masonline.com.ar/cookies-exquisita-de-vainilla-con-chips-de-chocolate-300gr-2/p,164094,164094,3454,Almacen
7797599232143,208678505,Copos Azucarados Fortificados Nutrifoods  1kg,Desayunos Y Meriendas,Cereales > Copos,Nutrifoods,,8159.0,5711.3,Coleccion Automatica - Promos de Integracion Activas | Más Online | Almacén | leyDeGondolas | kiosko cer y bud | MS Almacen Cereales y avenas | Sin cucarda Financiacion | Desayuno y Golosinas | Promos Activas - PROMOS INTERNAS | 2da al 80% - Ofertas 31/07 | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | Almacen | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/copos-azucarados-fortificados-nutrifoods-1kg-2/p,167081,167081,3454,Almacen
7790045001591,3041881,Copos De Cereal Granix 400 Gr,Desayunos Y Meriendas,Cereales > Copos,Granix,,2299.0,2299.0,Vic - MKT | Más Online | Almacén | leyDeGondolas | Desayuno - Regional | Aniversario - Filtros - Desayuno | kiosko cer y bud | Sin cucarda Financiacion | Super - Filtro Desayuno | Desayuno y Golosinas | Maraton - Filtro - Galletitas y Cereales | Aniversario - Desayuno y Meriendas | Aniversario! Almacén | MasOfertas - Desayuno y Golosinas | ESPECIAL DESAYUNO ECOMM SEPTIEMBRE - 30% | Especial Almacén | Días que si - Almacén | Desayuno y Chocolates | Especial Almacén - General | Especial Almacén - Desayuno | 2da al 80% - Ofertas 31/07 | Prepará tu semana- mas ofertas | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | Almacen | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/copos-de-cereal-granix-400-gr-2/p,13267,13267,3454,Almacen
7790199604693,103965508,Copos De Maiz Morixe Azucarados 220 G,Desayunos Y Meriendas,Cereales > Copos,Morixe,,1529.0,1146.75,Coleccion Automatica - Promos de Integracion Activas | Derrumbe- Especiales para vos! | Derrumbe- Desayuno y Meriendas | Aniversario-  Desayuno | Changazo - Desayuno | kiosko cer y bud | Sin cucarda Financiacion | Changomanía- Supermercado | MasOfertas - Almacén | MasOfertas - Desayuno | Changomanía- Desayuno | Mas Club Lunes 15% | Almacen | Derrumbe de precios - Desayuno | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/copos-de-maiz-morixe-azucarados-220-g/p,226745,226249,3454,Almacen
7790199604716,103965507,Copos De Maiz Morixe Tradicionales 180 G,Desayunos Y Meriendas,Cereales > Copos,Morixe,,1239.0,929.25,Coleccion Automatica - Promos de Integracion Activas | Derrumbe- Especiales para vos! | Derrumbe- Desayuno y Meriendas | Aniversario-  Desayuno | Changazo - Desayuno | kiosko cer y bud | Sin cucarda Financiacion | Changomanía- Supermercado | MasOfertas - Almacén | MasOfertas - Desayuno | Changomanía- Desayuno | Mas Club Lunes 15% | Almacen | Derrumbe de precios - Desayuno | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/copos-de-maiz-morixe-tradicionales-180-g/p,226744,226248,3454,Almacen
7791019000053,103025200,Copos De Maíz 3 Arroyos 150gr,Desayunos Y Meriendas,Cereales > Copos,3 Arroyos,,939.0,610.35,Coleccion Automatica - Promos de Integracion Activas | Changazo - Desayuno | kiosko cer y bud | Sin cucarda Financiacion | Aniversario! Almacén | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | CumpleMas Aniversario x2 | Almacen | Promos activas - ESPECIAL 2 TINA | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/copos-de-maiz-3-arroyos-150gr-2/p,217380,217345,3454,Almacen
7791019175973,104431381,Copos De Maíz 3 Arroyos Miel 200 G,Desayunos Y Meriendas,Cereales > Copos,3 Arroyos,,1799.0,1169.35,Coleccion Automatica - Promos de Integracion Activas | kiosko cer y bud | Sin cucarda Financiacion | Mas Club Lunes 15% | Almacen | Promos activas - ESPECIAL 2 TINA | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/copos-de-maiz-3-arroyos-miel-200-g/p,238311,237436,3454,Almacen
7791019000220,103030314,Copos De Maíz Azucarados  3 Arroyos 500gr,Desayunos Y Meriendas,Cereales > Copos,3 Arroyos,,3069.0,1994.85,Coleccion Automatica - Promos de Integracion Activas | Changazo - Desayuno | kiosko cer y bud | Sin cucarda Financiacion | Aniversario! Almacén | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | CumpleMas Aniversario x2 | Almacen | Promos activas - ESPECIAL 2 TINA | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/copos-de-maiz-azucarados-3-arroyos-500gr-2/p,217390,217355,3454,Almacen
